,t_out,gain,t_delta,gradient
2017-06-16 09:45:00,2017-06-16 10:01:00,0.003640500568828031,960,3.792188092529199e-06
2017-06-21 10:05:00,2017-06-21 10:46:00,0.016382405745062778,2460,6.659514530513324e-06
2017-06-21 11:30:00,2017-06-21 12:03:00,0.022881304423477022,1980,1.1556214355291425e-05
2017-06-23 09:50:00,2017-06-23 10:28:00,0.014524235033916089,2280,6.3702785236474075e-06
2017-06-27 09:39:00,2017-06-27 09:57:00,0.011131723380900072,1080,1.0307151278611177e-05
2017-06-27 10:34:00,2017-06-27 10:50:00,0.01594732440808344,960,1.661179625842025e-05
2017-07-05 11:42:00,2017-07-05 11:59:00,0.003692632319324707,1020,3.62022776404383e-06
2017-07-07 11:30:00,2017-07-07 11:50:00,0.004019754220742078,1200,3.3497951839517314e-06
2017-07-10 12:25:00,2017-07-10 12:46:00,0.004994891588148365,1260,3.964199673133623e-06
2017-07-11 09:34:00,2017-07-11 09:58:00,0.016112901433492643,1440,1.1189514884369892e-05
2017-07-12 09:38:00,2017-07-12 09:49:00,0.004805125467164828,660,7.280493132067921e-06
2017-07-25 09:51:00,2017-07-25 10:08:00,0.007097578154629636,1020,6.958409955519251e-06
2017-07-25 11:41:00,2017-07-25 12:00:00,0.010377654337043962,1140,9.103205558810493e-06
2017-07-27 10:19:00,2017-07-27 10:30:00,0.003418438201046925,660,5.179451819768068e-06
2017-08-04 14:22:00,2017-08-04 14:31:00,0.003227808814401101,540,5.977423730372409e-06
2017-08-11 09:44:00,2017-08-11 10:15:00,0.010626185958254375,1860,5.7130032033625674e-06
2017-08-14 09:58:00,2017-08-14 10:09:00,0.004015086993551575,660,6.083465141744811e-06
2017-08-21 13:25:00,2017-08-21 13:38:00,0.0032370219398154543,780,4.1500281279685315e-06
2017-08-22 09:35:00,2017-08-22 09:50:00,0.005434140578854052,900,6.037933976504502e-06
2017-08-23 09:31:00,2017-08-23 10:05:00,0.024730122812755218,2040,1.2122609221938832e-05
2017-08-30 10:47:00,2017-08-30 11:08:00,0.005377012143462201,1260,4.267469955128731e-06
2017-09-01 09:34:00,2017-09-01 09:51:00,0.008871420550252695,1020,8.697471127698721e-06
